Individual,Time,Death,Rear_Condition,Host_Plant
1,1,Y,Summer,CUR
2,1,Y,Summer,CUR
3,1,Y,Summer,CUR
4,1,Y,Summer,CUR
5,5,Y,Summer,CUR
6,6,Y,Summer,CUR
7,6,Y,Summer,CUR
8,6,Y,Summer,CUR
9,6,Y,Summer,CUR
10,6,Y,Summer,CUR
11,6,Y,Summer,CUR
12,6,Y,Summer,CUR
13,7,Y,Summer,CUR
14,7,Y,Summer,CUR
15,7,Y,Summer,CUR
16,7,Y,Summer,CUR
17,7,Y,Summer,CUR
18,7,Y,Summer,CUR
19,7,Y,Summer,CUR
20,7,Y,Summer,CUR
21,7,Y,Summer,CUR
22,7,Y,Summer,CUR
23,7,Y,Summer,CUR
24,7,Y,Summer,CUR
25,8,Y,Summer,CUR
26,8,Y,Summer,CUR
27,9,Y,Summer,CUR
28,9,Y,Summer,CUR
29,10,Y,Summer,CUR
30,12,Y,Summer,CUR
31,12,Y,Summer,CUR
32,12,Y,Summer,CUR
33,13,Y,Summer,CUR
34,26,Y,Summer,CUR
35,27,Y,Summer,CUR
36,55,Y,Summer,CUR
37,1,Y,Summer,SYR
38,1,Y,Summer,SYR
39,1,Y,Summer,SYR
40,1,Y,Summer,SYR
41,2,Y,Summer,SYR
42,2,Y,Summer,SYR
43,2,Y,Summer,SYR
44,4,Y,Summer,SYR
45,4,Y,Summer,SYR
46,5,Y,Summer,SYR
47,5,Y,Summer,SYR
48,5,Y,Summer,SYR
49,5,Y,Summer,SYR
50,6,Y,Summer,SYR
51,6,Y,Summer,SYR
52,6,Y,Summer,SYR
53,6,Y,Summer,SYR
54,6,Y,Summer,SYR
55,7,Y,Summer,SYR
56,7,Y,Summer,SYR
57,7,Y,Summer,SYR
58,7,Y,Summer,SYR
59,7,Y,Summer,SYR
60,7,Y,Summer,SYR
61,7,Y,Summer,SYR
62,7,Y,Summer,SYR
63,7,Y,Summer,SYR
64,7,Y,Summer,SYR
65,7,Y,Summer,SYR
66,8,Y,Summer,SYR
67,8,Y,Summer,SYR
68,8,Y,Summer,SYR
69,9,Y,Summer,SYR
70,10,Y,Summer,SYR
71,10,Y,Summer,SYR
72,12,Y,Summer,SYR
73,13,Y,Summer,SYR
74,13,Y,Summer,SYR
75,16,Y,Summer,SYR
76,16,Y,Summer,SYR
77,17,Y,Summer,SYR
78,20,Y,Summer,SYR
79,22,Y,Summer,SYR
80,26,Y,Summer,SYR
81,26,Y,Summer,SYR
82,27,Y,Summer,SYR
83,30,Y,Summer,SYR
84,30,Y,Summer,SYR
85,30,Y,Summer,SYR
86,31,Y,Summer,SYR
87,35,Y,Summer,SYR
88,37,Y,Summer,SYR
89,39,Y,Summer,SYR
90,40,Y,Summer,SYR
91,40,Y,Summer,SYR
92,40,Y,Summer,SYR
93,42,Y,Summer,SYR
94,50,Y,Summer,SYR
95,51,Y,Summer,SYR
96,51,Y,Summer,SYR
97,51,Y,Summer,SYR
98,3,Y,Fall,CUR
99,8,Y,Fall,CUR
100,9,Y,Fall,CUR
101,9,Y,Fall,CUR
102,10,Y,Fall,CUR
103,11,Y,Fall,CUR
104,11,Y,Fall,CUR
105,12,Y,Fall,CUR
106,12,Y,Fall,CUR
107,13,Y,Fall,CUR
108,14,Y,Fall,CUR
109,14,Y,Fall,CUR
110,21,Y,Fall,CUR
111,21,Y,Fall,CUR
112,23,Y,Fall,CUR
113,25,Y,Fall,CUR
114,27,Y,Fall,CUR
115,32,Y,Fall,CUR
116,32,Y,Fall,CUR
117,33,Y,Fall,CUR
118,33,Y,Fall,CUR
119,34,Y,Fall,CUR
120,39,Y,Fall,CUR
121,43,Y,Fall,CUR
122,46,Y,Fall,CUR
123,47,Y,Fall,CUR
124,56,Y,Fall,CUR
125,60,Y,Fall,CUR
126,72,Y,Fall,CUR
127,72,Y,Fall,CUR
128,9,Y,Fall,SYR
129,9,Y,Fall,SYR
130,10,Y,Fall,SYR
131,10,Y,Fall,SYR
132,16,Y,Fall,SYR
133,16,Y,Fall,SYR
134,17,Y,Fall,SYR
135,20,Y,Fall,SYR
136,22,Y,Fall,SYR
137,23,Y,Fall,SYR
138,23,Y,Fall,SYR
139,25,Y,Fall,SYR
140,27,Y,Fall,SYR
141,27,Y,Fall,SYR
142,32,Y,Fall,SYR
143,33,Y,Fall,SYR
144,36,Y,Fall,SYR
145,38,Y,Fall,SYR
146,40,Y,Fall,SYR
147,41,Y,Fall,SYR
148,46,Y,Fall,SYR
149,48,Y,Fall,SYR
150,49,Y,Fall,SYR
151,49,Y,Fall,SYR
152,50,Y,Fall,SYR
153,52,Y,Fall,SYR
154,55,Y,Fall,SYR
155,56,Y,Fall,SYR
156,62,Y,Fall,SYR
157,67,Y,Fall,SYR
158,71,Y,Fall,SYR
159,75,Y,Fall,SYR
160,75,Y,Fall,SYR
161,80,Y,Fall,SYR
162,84,Y,Fall,SYR
163,84,Y,Fall,SYR
164,85,Y,Fall,SYR
165,87,Y,Fall,SYR
166,88,Y,Fall,SYR
167,88,Y,Fall,SYR
168,88,Y,Fall,SYR
169,88,Y,Fall,SYR
