sum_Day,sum_CUR_count,sum_SYR_count,fall_Day,fall_CUR_count,fall_SYR_count
0,41,67,0,33,47
1,37,63,1,33,47
2,37,60,2,33,47
3,37,60,3,32,47
4,37,58,4,32,47
5,36,54,5,32,47
6,29,49,6,32,47
7,17,38,7,32,47
8,15,35,8,31,47
9,13,34,9,29,45
10,12,32,10,28,43
11,12,32,11,26,43
12,9,31,12,24,43
13,8,29,13,23,43
14,8,29,14,21,43
15,8,29,15,21,43
16,8,27,16,21,41
17,8,26,17,21,40
18,8,26,18,21,40
19,8,26,19,21,40
20,8,25,20,21,39
21,8,25,21,19,39
22,8,24,22,19,38
23,8,24,23,18,36
24,8,24,24,18,36
25,8,24,25,17,35
26,7,22,26,17,35
27,6,21,27,16,33
28,6,21,32,14,32
29,6,21,33,12,31
30,6,18,34,11,31
31,6,17,36,11,30
35,6,17,38,11,29
36,6,17,39,10,29
37,6,16,40,10,28
38,6,16,41,10,27
39,6,15,43,9,27
40,6,12,46,8,26
41,6,12,47,7,26
42,6,11,48,7,25
50,6,10,49,7,23
51,6,7,50,7,22
55,5,7,52,7,21
,,,55,7,20
,,,56,6,19
,,,60,5,19
,,,62,5,18
,,,67,5,17
,,,70,5,16
,,,72,3,16
,,,75,,14
,,,80,,13
,,,84,,11
,,,85,,10
,,,86,,10
,,,87,,9
,,,88,,5
